pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
GJ 143,GJ 143 b,Transit,2,35.61253,0.1915,0.188,89.33,0.07142,0.233,7,03h26m59.22s,51.746769,-63d29m56.8s,-63.4991,16.33,4640,0.73,0.69,4/25/19,Transiting Exoplanet Survey Satellite (TESS)
GJ 163,GJ 163 b,Radial Velocity,3,8.63182,0.0607,0.073,,0.03335,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,3500,0.4,,1/26/17,La Silla Observatory
GJ 163,GJ 163 c,Radial Velocity,3,25.63058,0.1254,0.099,,0.0214,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,3500,0.4,,1/26/17,La Silla Observatory
GJ 163,GJ 163 d,Radial Velocity,3,603.95116,1.0304,0.373,,0.0925,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,3500,0.4,,1/26/17,La Silla Observatory
GJ 179,GJ 179 b,Radial Velocity,1,2288,2.41,0.21,,0.82,,,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.36,3370,0.36,0.38,5/14/14,W. M. Keck Observatory
GJ 273,GJ 273 b,Radial Velocity,2,18.6498,0.091101,0.1,,0.00909,,,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.8,3382,0.29,0.29,3/30/17,La Silla Observatory
GJ 273,GJ 273 c,Radial Velocity,2,4.7234,0.036467,0.17,,0.00371,,,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.8,3382,0.29,0.29,3/30/17,La Silla Observatory
GJ 3021,GJ 3021 b,Radial Velocity,1,133.71,0.49,0.511,,3.37,,,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.56,5540,0.9,0.9,5/14/14,La Silla Observatory
GJ 3138,GJ 3138 b,Radial Velocity,3,1.22003,0.0197,0.19,,0.0056,,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.49,3717,0.68,0.5,3/30/17,La Silla Observatory
GJ 3138,GJ 3138 c,Radial Velocity,3,5.974,0.057,0.11,,0.01315,,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.49,3717,0.68,0.5,3/30/17,La Silla Observatory
GJ 3138,GJ 3138 d,Radial Velocity,3,257.8,0.698,0.32,,0.03304,,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.49,3717,0.68,0.5,3/30/17,La Silla Observatory
GJ 317,GJ 317 b,Radial Velocity,2,692,1.15,0.11,45,2.5,,,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,3510,0.42,,8/27/14,W. M. Keck Observatory
GJ 317,GJ 317 c,Radial Velocity,2,5312,,0.308,,1.54,,,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,3510,0.42,,11/29/18,W. M. Keck Observatory
GJ 328,GJ 328 b,Radial Velocity,1,4100,4.5,0.37,,2.3,,,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.54,3900,0.69,,5/14/14,McDonald Observatory
GJ 3293,GJ 3293 b,Radial Velocity,4,30.5987,0.14339,0.06,,0.07406,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,3466,0.42,0.4,3/30/17,La Silla Observatory
GJ 3293,GJ 3293 c,Radial Velocity,4,122.6196,0.36175,0.11,,0.06636,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,3466,0.42,0.4,3/30/17,La Silla Observatory
GJ 3293,GJ 3293 d,Radial Velocity,4,48.1345,0.19394,0.12,,0.02391,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,3466,0.42,0.4,3/30/17,La Silla Observatory
GJ 3293,GJ 3293 e,Radial Velocity,4,13.2543,0.08208,0.21,,0.01032,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,3466,0.42,0.4,3/30/17,La Silla Observatory
GJ 3323,GJ 3323 b,Radial Velocity,2,5.3636,0.03282,0.23,,0.00636,,,05h01m57.43s,75.48928,-06d56m46.5s,-6.946263,5.32,3159,0.16,0.12,3/30/17,La Silla Observatory
GJ 3323,GJ 3323 c,Radial Velocity,2,40.54,0.1264,0.17,,0.00727,,,05h01m57.43s,75.48928,-06d56m46.5s,-6.946263,5.32,3159,0.16,0.12,3/30/17,La Silla Observatory
GJ 3341,GJ 3341 b,Radial Velocity,1,14.207,0.089,0.31,,0.0208,,,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,23.16,3526,0.47,0.44,12/3/14,La Silla Observatory
GJ 3470,GJ 3470 b,Radial Velocity,1,3.3366496,0.0355,,89.13,0.04373,0.408,0.8,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,29.45,3600,0.54,0.55,9/29/16,La Silla Observatory
GJ 357,GJ 357 b,Transit,3,3.93072,0.035,,89.12,0.00579,0.109,5.6,09h36m01.64s,144.006821,-21d39m38.9s,-21.660797,9.44,3505,0.34,0.34,8/1/19,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,GJ 357 c,Radial Velocity,3,9.1247,0.061,,,0.0107,,,09h36m01.64s,144.006821,-21d39m38.9s,-21.660797,9.44,3505,0.34,0.34,8/1/19,Multiple Observatories
GJ 357,GJ 357 d,Radial Velocity,3,55.661,0.204,,,0.01919,,,09h36m01.64s,144.006821,-21d39m38.9s,-21.660797,9.44,3505,0.34,0.34,8/1/19,Multiple Observatories
GJ 3634,GJ 3634 b,Radial Velocity,1,2.64561,0.0287,0.08,59,0.026,,,10h58m35.10s,164.646242,-31d08m38.4s,-31.143989,19.8,,0.45,0.43,8/21/14,La Silla Observatory
GJ 3779,GJ 3779 b,Radial Velocity,1,3.0232,0.026,0.07,,0.02517,,,13h22m56.74s,200.736403,+24d28m03.5s,24.467626,13.75,3324,0.27,0.28,12/6/18,Calar Alto Observatory
GJ 3942,GJ 3942 b,Radial Velocity,1,6.905,0.0608,0.121,,0.02246,,,16h09m03.14s,242.263092,+52d56m37.9s,52.943874,16.94,3867,0.63,0.61,12/21/17,Roque de los Muchachos Observatory
GJ 3998,GJ 3998 b,Radial Velocity,2,2.64977,0.029,0,,0.00777,,,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,18.16,3722,0.5,0.49,7/28/16,Roque de los Muchachos Observatory
GJ 3998,GJ 3998 c,Radial Velocity,2,13.74,0.089,0.049,,0.0197,,,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,18.16,3722,0.5,0.49,7/28/16,Roque de los Muchachos Observatory
GJ 411,GJ 411 b,Radial Velocity,1,12.9532,0.0785,0.22,,0.00941,,,11h03m20.19s,165.834137,+35d58m11.6s,35.969879,2.55,3563,0.39,0.39,3/5/19,Haute-Provence Observatory
GJ 4276,GJ 4276 b,Radial Velocity,1,13.352,0.082,0.37,,0.05213,,,22h25m17.05s,336.321023,+59d24m49.8s,59.413835,21.35,3387,0.41,0.41,1/24/19,Calar Alto Observatory
GJ 433,GJ 433 b,Radial Velocity,1,7.3709,0.06,0.08,,0.02,,,11h35m26.95s,173.862289,-32d32m23.9s,-32.53997,9.07,3461,0.59,0.5,9/6/18,La Silla Observatory
GJ 436,GJ 436 b,Radial Velocity,1,2.64388312,0.0291,0.13827,86.44,0.07,0.372,1.8,11h42m11.09s,175.546219,+26d42m23.7s,26.70657,9.76,,0.47,0.46,2/5/15,W. M. Keck Observatory
GJ 504,GJ 504 b,Imaging,1,,43.5,,,4,,,13h16m46.52s,199.193817,+09d25m27.0s,9.424156,17.54,6234,1.22,,5/14/14,Subaru Telescope
GJ 536,GJ 536 b,Radial Velocity,1,8.7076,0.06661,0.08,,0.01686,,,14h01m03.19s,210.26329,-02d39m17.5s,-2.654864,10.41,3685,0.52,0.5,11/17/16,La Silla Observatory
GJ 581,GJ 581 b,Radial Velocity,3,5.3686,0.04061,0,,0.0497,,,15h19m26.82s,229.861771,-07d43m20.2s,-7.72228,6.3,,0.31,0.29,7/9/14,La Silla Observatory
GJ 581,GJ 581 c,Radial Velocity,3,12.914,0.0721,0,,0.0173,,,15h19m26.82s,229.861771,-07d43m20.2s,-7.72228,6.3,,0.31,0.29,7/9/14,La Silla Observatory
GJ 581,GJ 581 e,Radial Velocity,3,3.149,0.02815,0,,0.0053,,,15h19m26.82s,229.861771,-07d43m20.2s,-7.72228,6.3,,0.31,0.29,7/9/14,La Silla Observatory
GJ 625,GJ 625 b,Radial Velocity,1,14.628,0.078361,0.13,,0.00887,,,16h25m24.62s,246.3526,+54d18m14.8s,54.304104,6.49,3499,0.3,0.31,9/28/17,Multiple Observatories
GJ 649,GJ 649 b,Radial Velocity,1,598.3,1.135,0.3,,0.328,,,16h58m08.85s,254.53688,+25d44m39.0s,25.74416,10.38,3700,0.54,,5/14/14,W. M. Keck Observatory
GJ 667 C,GJ 667 C b,Radial Velocity,5,7.2004,0.0505,0.13,,0.018,,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,3350,0.33,,5/14/14,La Silla Observatory
GJ 667 C,GJ 667 C c,Radial Velocity,5,28.14,0.125,0.02,,0.012,,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,3350,0.33,,5/14/14,La Silla Observatory
GJ 667 C,GJ 667 C e,Radial Velocity,5,62.24,0.213,0.02,,0.008,,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,3350,0.33,,5/14/14,La Silla Observatory
GJ 667 C,GJ 667 C f,Radial Velocity,5,39.026,0.156,0.03,,0.008,,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,3350,0.33,,5/14/14,La Silla Observatory
GJ 667 C,GJ 667 C g,Radial Velocity,5,256.2,0.549,0.08,,0.014,,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,3350,0.33,,5/14/14,La Silla Observatory
GJ 674,GJ 674 b,Radial Velocity,1,4.6938,0.039,0.2,,0.035,,,17h28m39.95s,262.166443,-46d53m42.7s,-46.895191,4.55,3600,0.35,,5/14/14,La Silla Observatory
GJ 676 A,GJ 676 A b,Radial Velocity,4,1056.80005,1.82,0.33,,4.96,,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.03,3734,0.73,0.69,9/6/18,La Silla Observatory
GJ 676 A,GJ 676 A c,Radial Velocity,4,7337,6.6,,,6.8,,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.03,3734,0.73,0.69,9/29/16,Paranal Observatory
GJ 676 A,GJ 676 A d,Radial Velocity,4,3.6005,,0.262,,0.014,,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.03,3734,0.73,0.69,9/29/16,La Silla Observatory
GJ 676 A,GJ 676 A e,Radial Velocity,4,35.39,,0.125,,0.025,,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.03,3734,0.73,0.69,9/29/16,La Silla Observatory
GJ 685,GJ 685 b,Radial Velocity,1,24.16,0.1344,0,,0.02832,,,17h35m34.48s,263.893677,+61d40m53.6s,61.681564,14.32,3816,0.55,0.54,4/11/19,Qatar
GJ 687,GJ 687 b,Radial Velocity,1,38.14,0.17,0.04,,0.06,,,17h36m25.90s,264.10791,+68d20m20.9s,68.339142,4.55,3340,0.45,0.43,9/6/18,Lick Observatory
GJ 832,GJ 832 b,Radial Velocity,2,3657,3.56,0.08,,0.68,,,21h33m33.98s,323.391571,-49d00m32.4s,-49.009006,4.97,3472,0.45,,6/25/14,Anglo-Australian Telescope
GJ 832,GJ 832 c,Radial Velocity,2,35.68,0.163,0.18,,0.017,,,21h33m33.98s,323.391571,-49d00m32.4s,-49.009006,4.97,3472,0.45,,6/25/14,Multiple Observatories
GJ 849,GJ 849 b,Radial Velocity,1,1882,2.35,0.04,,1,,,22h09m40.35s,332.418121,-04d38m26.6s,-4.640729,8.8,3241,0.65,0.53,9/6/18,W. M. Keck Observatory
GJ 86,GJ 86 b,Radial Velocity,1,15.76491,0.11,0.04,,4.42,,,02h10m25.93s,32.608059,-50d49m25.4s,-50.823723,10.79,5182,0.93,0.77,9/6/18,La Silla Observatory
GJ 876,GJ 876 b,Radial Velocity,4,61.1166,0.208317,0.0324,59,2.2756,,,22h53m16.74s,343.319733,-14d15m49.3s,-14.2637,4.68,,0.32,0.3,8/27/14,Multiple Observatories
GJ 876,GJ 876 c,Radial Velocity,4,30.0881,0.12959,0.25591,59,0.7142,,,22h53m16.74s,343.319733,-14d15m49.3s,-14.2637,4.68,,0.32,0.3,8/27/14,Multiple Observatories
GJ 876,GJ 876 d,Radial Velocity,4,1.93778,0.020807,0.207,59,0.021,,,22h53m16.74s,343.319733,-14d15m49.3s,-14.2637,4.68,,0.32,0.3,8/27/14,W. M. Keck Observatory
GJ 876,GJ 876 e,Radial Velocity,4,124.26,0.3343,0.055,59,0.046,,,22h53m16.74s,343.319733,-14d15m49.3s,-14.2637,4.68,,0.32,0.3,8/27/14,W. M. Keck Observatory
GJ 96,GJ 96 b,Radial Velocity,1,73.94,0.291,0.44,,0.06186,,,02h22m14.64s,35.561016,+47d52m48.1s,47.880028,11.94,3785,0.6,,11/8/18,Haute-Provence Observatory
GJ 9827,GJ 9827 b,Transit,3,1.2089802,0.01888,,85.73,0.01076,0.145,4.5,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,29.69,4269,0.61,0.61,6/21/18,K2
GJ 9827,GJ 9827 c,Transit,3,3.648083,0.03942,,88.05,0.00761,0.113,6.4,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,29.69,4269,0.61,0.61,6/21/18,K2
GJ 9827,GJ 9827 d,Transit,3,6.201467,0.05615,,87.39,0.01636,0.185,3.23,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,29.69,4269,0.61,0.61,6/21/18,K2
GQ Lup,GQ Lup b,Imaging,1,,100,,,20,3,,15h49m12.10s,237.300427,-35d39m05.1s,-35.651421,151.82,,0.7,,5/14/14,Paranal Observatory
GSC 06214-00210,GSC 06214-00210 b,Imaging,1,,320,,,16,,,16h21m54.67s,245.47778,-20d43m09.1s,-20.719202,145,4200,0.9,,4/1/15,Palomar Observatory
GU Psc,GU Psc b,Imaging,1,,2000,,,11.3,1.265,,01h12m35.04s,18.146006,+17d03m55.7s,17.065475,48,,0.33,,5/14/14,Gemini Observatory
Gl 378,Gl 378 b,Radial Velocity,1,3.822,0.039435,0.109,,0.04097,,,10h02m21.75s,150.590622,+48d05m19.7s,48.088806,14.96,3879,0.56,0.56,3/5/19,Haute-Provence Observatory
Gl 49,Gl 49 b,Radial Velocity,1,13.8508,0.0905,0.363,,0.01771,,,01h02m38.87s,15.661943,+62d20m42.2s,62.345043,9.86,3805,0.52,0.51,6/13/19,Multiple Observatories
Gl 686,Gl 686 b,Radial Velocity,1,15.5314,0.0917,0.077,,0.02089,,,17h37m53.35s,264.47229,+18d35m30.2s,18.591709,8.16,3663,0.42,0.42,6/13/19,Roque de los Muchachos Observatory
HAT-P-1,HAT-P-1 b,Transit,1,4.46529976,0.05561,,85.634,0.525,1.319,0.282,22h57m46.83s,344.445104,+38d40m29.8s,38.674953,159.71,5980,1.15,1.17,9/10/15,HATNet
HAT-P-11,HAT-P-11 b,Transit,2,4.88780244,0.05254,0.218,,0.07362,0.389,,19h50m50.24s,297.709351,+48d04m51.1s,48.080856,37.81,4780,0.81,0.68,1/31/19,HATNet
HAT-P-11,HAT-P-11 c,Radial Velocity,2,3407,4.13,0.601,,1.59519,,,19h50m50.24s,297.709351,+48d04m51.1s,48.080856,37.81,4780,0.81,0.68,1/31/19,W. M. Keck Observatory
HAT-P-12,HAT-P-12 b,Transit,1,3.2130598,0.0384,0,89,0.211,0.959,0.3192,13h57m33.48s,209.389489,+43d29m36.7s,43.493534,142.5,4650,0.73,0.7,5/14/14,HATNet
HAT-P-13,HAT-P-13 b,Transit,2,2.91625,,0.0133,83.4,0.851,1.272,,08h39m31.81s,129.882536,+47d21m07.4s,47.352051,214,5653,1.22,1.56,10/15/14,HATNet
HAT-P-13,HAT-P-13 c,Radial Velocity,2,446.27,,0.6616,,14.28,,,08h39m31.81s,129.882536,+47d21m07.4s,47.352051,214,5653,1.22,1.56,1/31/19,W. M. Keck Observatory
HAT-P-14,HAT-P-14 b,Transit,1,4.62767,,0.11,83.5,3.44,1.42,,17h20m27.88s,260.116169,+38d14m31.8s,38.242165,224.1,6600,2.65,1.82,4/26/18,HATNet
HAT-P-15,HAT-P-15 b,Transit,1,10.8635,,0.19,89.1,1.94,1.06,,04h24m59.53s,66.248026,+39d27m38.3s,39.460636,193.56,5568,1,1.07,4/26/18,HATNet
HAT-P-16,HAT-P-16 b,Transit,1,2.77596,0.0413,0.036,86.6,4.193,1.289,2.42,00h38m17.56s,9.573181,+42d27m47.1s,42.463078,235,6158,1.22,1.24,5/14/14,HATNet
HAT-P-17,HAT-P-17 b,Transit,2,10.33852,,0.35,89.2,0.58,1.05,,21h38m08.74s,324.536396,+30d29m19.4s,30.488716,92.63,5246,0.99,0.87,4/26/18,HATNet
HAT-P-17,HAT-P-17 c,Radial Velocity,2,5584,5.6,0.39,,3.4,,,21h38m08.74s,324.536396,+30d29m19.4s,30.488716,92.63,5246,0.99,0.87,5/14/14,W. M. Keck Observatory
HAT-P-18,HAT-P-18 b,Transit,1,5.508023,0.0559,0.084,88.8,0.197,0.995,0.25,17h05m23.15s,256.346473,+33d00m45.0s,33.012512,166,4803,0.77,0.75,5/14/14,HATNet
HAT-P-19,HAT-P-19 b,Transit,1,4.008778,0.0466,0.067,88.2,0.292,1.132,0.25,00h38m04.02s,9.516742,+34d42m41.7s,34.711575,215,4990,0.84,0.82,5/14/14,HATNet
HAT-P-2,HAT-P-2 b,Transit,1,5.6335158,0.06814,0.5172,,8.62,,,16h20m36.36s,245.151489,+41d02m53.1s,41.048084,128.25,6380,1.33,1.39,9/27/18,HATNet
HAT-P-20,HAT-P-20 b,Transit,1,2.875317,0.0361,0.015,86.8,7.246,0.867,13.78,07h27m39.95s,111.916469,+24d20m11.9s,24.33663,70,4595,0.76,0.69,5/14/14,HATNet
HAT-P-21,HAT-P-21 b,Transit,1,4.12448,,0.23,87.2,4.87,1.11,,11h25m05.99s,171.274955,+41d01m40.6s,41.027954,279.48,5588,1.24,1.21,4/26/18,HATNet
HAT-P-22,HAT-P-22 b,Transit,1,3.21222,,0.02,86.9,2.47,1.15,,10h22m43.61s,155.681719,+50d07m42.0s,50.128345,81.96,5302,1.13,1.11,4/26/18,HATNet
HAT-P-23,HAT-P-23 b,Transit,1,1.21288,,0.11,85.1,1.34,1.09,,20h24m29.72s,306.123854,+16d45m43.7s,16.762152,368.61,5905,0.58,0.96,4/26/18,HATNet
HAT-P-24,HAT-P-24 b,Transit,1,3.35524,,0.07,88.6,0.75,1.3,,07h15m18.01s,108.825058,+14d15m45.4s,14.262599,420.26,6373,1.37,1.38,4/26/18,HATNet
HAT-P-25,HAT-P-25 b,Transit,1,3.65281514,0.0466,0.023,88.22,0.569,1.135,0.483,03h13m44.50s,48.435419,+25d11m50.7s,25.197405,302.95,5519,1.01,0.92,1/17/19,HATNet
HAT-P-26,HAT-P-26 b,Transit,1,4.23452,,0.12,88.6,0.07,0.63,,14h12m37.53s,213.156383,+04d03m36.0s,4.059997,142.41,5079,1.12,0.87,4/26/18,HATNet
HAT-P-27,HAT-P-27 b,Transit,1,3.039577,0.04,0,85,0.62,1.02,,14h51m04.18s,222.767436,+05d56m50.5s,5.947368,204,5300,0.94,0.9,2/1/18,HATNet
HAT-P-28,HAT-P-28 b,Transit,1,3.257215,0.0434,0.051,88,0.626,1.212,0.44,00h52m00.18s,13.000766,+34d43m42.3s,34.728413,395,5680,1.02,1.1,5/14/14,HATNet
HAT-P-29,HAT-P-29 b,Transit,1,5.72319,,0.09,87.1,0.88,1.17,,02h12m31.47s,33.131142,+51d46m43.5s,51.778759,316.36,6087,1.45,1.3,4/26/18,HATNet
HAT-P-3,HAT-P-3 b,Transit,1,2.8997,,0,87.24,0.65,0.94,,13h44m22.59s,206.094121,+48d01m43.2s,48.028667,135.08,5185,1.06,0.87,5/24/18,HATNet
HAT-P-30,HAT-P-30 b,Transit,1,2.8106,,0.04,83.6,0.83,1.44,,08h15m47.97s,123.949894,+05d50m12.2s,5.836719,215.29,6304,1.55,1.31,4/26/18,HATNet
HAT-P-31,HAT-P-31 b,Transit,1,5.00542,,0.25,87.1,2.27,1.09,,18h06m09.05s,271.537705,+26d25m36.0s,26.426662,347.48,6065,1.31,1.39,4/26/18,HATNet
HAT-P-32,HAT-P-32 b,Transit,1,2.1500082,0.03397,0.159,88.98,0.68,1.98,0.108,02h04m10.28s,31.042848,+46d41m16.2s,46.687836,291.51,6001,1.13,1.37,7/11/19,HATNet
HAT-P-33,HAT-P-33 b,Transit,1,3.47447,,0,87.2,0.92,1.85,,07h32m44.21s,113.184212,+33d50m06.2s,33.835052,400.55,6446,1.82,1.79,4/26/18,HATNet
HAT-P-34,HAT-P-34 b,Transit,1,5.45265,,0.44,87.1,7.01,1.35,,20h12m46.88s,303.195342,+18d06m17.5s,18.104868,251.08,6442,4.26,1.73,4/26/18,HATNet
HAT-P-35,HAT-P-35 b,Transit,1,3.64671,,0.03,87.3,7.52,3.55,,08h13m00.18s,123.250764,+04d47m13.3s,4.787023,514.2,6096,23.56,3.82,4/26/18,HATNet
HAT-P-36,HAT-P-36 b,Transit,1,1.32734683,0.0241,,87.13,1.8482,1.277,1.175,12h33m03.90s,188.266255,+44d54m55.3s,44.915352,296.93,5620,1.03,1.04,7/11/19,HATNet
HAT-P-37,HAT-P-37 b,Transit,1,2.797436,0.0379,0.058,86.9,1.169,1.178,0.89,18h57m11.06s,284.296064,+51d16m08.9s,51.269138,411,5500,0.93,0.88,5/14/14,HATNet
HAT-P-38,HAT-P-38 b,Transit,1,4.640382,0.0523,0.067,88.3,0.267,0.825,0.59,02h21m31.98s,35.383234,+32d14m46.1s,32.246151,249,5330,0.89,0.92,5/14/14,HATNet
HAT-P-39,HAT-P-39 b,Transit,1,3.54387,0.0509,0,87,0.599,1.571,0.19,07h35m01.98s,113.758247,+17d49m48.3s,17.830082,642,6430,1.4,1.62,5/14/14,HATNet
HAT-P-4,HAT-P-4 b,Transit,1,3.056536,0.04438,0,89.91,0.671,1.274,0.403,15h19m57.92s,229.991354,+36d13m46.8s,36.229664,314,5860,,,5/14/14,HATNet
HAT-P-40,HAT-P-40 b,Transit,1,4.45724,,0,88.3,0.48,1.52,,22h22m03.09s,335.512861,+45d27m26.6s,45.457378,470.68,6080,1.03,1.94,4/26/18,HATNet
HAT-P-41,HAT-P-41 b,Transit,1,2.69405,,0,87.7,1.19,2.05,,19h49m17.44s,297.322651,+04d40m20.7s,4.672421,351.63,6390,2.56,2.05,4/26/18,HATNet
HAT-P-42,HAT-P-42 b,Transit,1,4.641878,0.0575,0,85.9,1.044,1.28,0.61,09h01m22.65s,135.344391,+06d05m50.0s,6.09723,447,5743,1.18,1.53,5/14/14,HATNet
HAT-P-43,HAT-P-43 b,Transit,1,3.332687,0.0443,0,88.7,0.662,1.281,0.39,08h35m42.18s,128.925737,+10d12m24.0s,10.206653,542,5645,1.05,1.1,5/14/14,HATNet
HAT-P-44,HAT-P-44 b,Transit,2,4.301219,0.0507,0.044,89.1,0.352,1.242,0.23,14h12m34.58s,213.144074,+47d00m52.9s,47.014687,363,5295,0.94,0.95,5/14/14,HATNet
HAT-P-44,HAT-P-44 c,Radial Velocity,2,872.2,1.752,0.494,,4,,,14h12m34.58s,213.144074,+47d00m52.9s,47.014687,363,5295,0.94,0.95,5/14/14,W. M. Keck Observatory
HAT-P-45,HAT-P-45 b,Transit,1,3.128992,0.0452,0.049,87.8,0.892,1.426,0.38,18h17m29.58s,274.373238,-03d22m51.7s,-3.381036,305,6330,1.26,1.32,5/14/14,HATNet
HAT-P-46,HAT-P-46 b,Transit,1,4.463129,0.0577,0.123,85.5,0.493,1.284,0.28,18h01m46.61s,270.444201,-02d58m15.4s,-2.970947,296,6120,1.28,1.4,5/14/14,HATNet
HAT-P-49,HAT-P-49 b,Transit,1,2.69155,,0,86.2,2.2,1.59,,20h21m45.94s,305.441397,+26d41m33.5s,26.692652,353.89,6820,2.22,2.06,4/26/18,HATNet
HAT-P-5,HAT-P-5 b,Transit,1,2.78849,,0,86.75,0.98,1.21,,18h17m37.31s,274.405476,+36d37m17.1s,36.62141,306.01,5960,1.04,1.12,5/24/18,HATNet
HAT-P-50,HAT-P-50 b,Transit,1,3.1220109,0.0453,0.115,83.65,1.35,1.288,0.78,07h52m15.22s,118.063411,+12d08m21.9s,12.13941,497,6280,1.27,1.7,11/19/15,HATNet
HAT-P-51,HAT-P-51 b,Transit,1,4.2180278,0.05069,0.123,88.48,0.309,1.293,0.178,01h24m15.65s,21.06519,+32d48m38.8s,32.810764,470,5449,0.98,1.04,11/19/15,HATNet
HAT-P-52,HAT-P-52 b,Transit,1,2.7535953,0.03694,0.047,87.02,0.818,1.009,0.98,02h50m53.20s,42.721679,+29d01m20.6s,29.022396,385,5131,0.89,0.89,11/19/15,HATNet
HAT-P-53,HAT-P-53 b,Transit,1,1.9616241,0.03159,0.134,86.2,1.484,1.318,0.8,01h27m29.07s,21.871105,+38d58m05.3s,38.968147,719,5956,1.09,1.21,11/19/15,HATNet
HAT-P-54,HAT-P-54 b,Transit,1,3.799847,0.04117,0.074,87.04,0.76,0.944,1.118,06h39m35.52s,99.898003,+25d28m57.1s,25.48254,144.25,4390,0.65,0.62,4/24/15,HATNet
HAT-P-55,HAT-P-55 b,Transit,1,3.5852467,0.04604,0.139,87.7,0.582,1.182,0.435,17h37m05.63s,264.273447,+25d43m52.3s,25.731186,480,5808,1.01,1.01,6/17/15,HATNet
HAT-P-56,HAT-P-56 b,Transit,1,2.79083,,,82.13,2.31,1.51,,06h43m23.53s,100.848038,+27d15m08.3s,27.252293,323.5,6566,1.42,1.47,4/26/18,HATNet
HAT-P-57,HAT-P-57 b,Transit,1,2.4653,,0,88.26,1.41,1.74,,18h18m58.42s,274.743421,+10d35m50.3s,10.597294,282.08,6330,2.77,1.85,4/26/18,HATNet
HAT-P-6,HAT-P-6 b,Transit,1,3.85298,,0,85.51,1.32,1.48,,23h39m05.81s,354.774222,+42d27m57.5s,42.465973,277.5,6570,1.79,1.62,4/26/18,HATNet
HAT-P-65,HAT-P-65 b,Transit,1,2.6054552,0.03951,0.304,84.2,0.527,1.89,0.096,21h03m37.32s,315.905487,+11d59m21.9s,11.989404,841,5835,1.21,1.86,9/15/16,HATNet
HAT-P-66,HAT-P-66 b,Transit,1,2.972086,0.04363,0.09,86.2,0.783,1.59,0.242,10h02m17.43s,150.572632,+53d57m03.1s,53.950863,927,6002,1.25,1.88,9/15/16,HATNet
HAT-P-67,HAT-P-67 b,Transit,1,4.8101025,0.06505,0,88.8,0.34,2.085,0.052,17h06m26.56s,256.610687,+44d46m37.1s,44.776981,320,6406,1.64,2.55,4/13/17,HATNet
HAT-P-7,HAT-P-7 b,Transit,1,2.20474,,0,83.11,1.84,1.51,,19h28m59.35s,292.24731,+47d58m10.2s,47.969513,344.46,6389,1.56,2,4/26/18,HATNet
HAT-P-8,HAT-P-8 b,Transit,1,3.07634,,0,87.8,1.28,1.4,,22h52m09.86s,343.041067,+35d26m49.6s,35.447109,212.84,6200,1.27,1.57,4/26/18,HATNet
HAT-P-9,HAT-P-9 b,Transit,1,3.92281072,0.05287,0.084,86.44,0.749,1.393,0.342,07h20m40.45s,110.168529,+37d08m26.3s,37.140652,480,6350,1.28,1.34,7/11/19,HATNet
